OTU id	GC content	stem length	length of U-rich sequence	# of prediction / CDS	# of prediction / KB in IGR	gene length	loop length	gene number	genome size	igr length	# downstream	# threeprime	Taxonomy
OTU-34080	71.88323	15	0	0.455	3.994	6678876	4	6704	7687565	1008689	2274	778	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Streptomycetales;f__Streptomycetaceae;g__Streptomyces;s__
OTU-34088	66.79427	11	3	0.248	2.841	3474897	5	3173	3788902	314005	421	365	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__Opitutaceae;g__Palsa-1447;s__Palsa-1447 sp003164715
OTU-34091	65.59609	13	0	0.332	4.239	3799155	4	3751	4161309	362154	811	433	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Methyloversatilis;s__Methyloversatilis thermotolerans
OTU-34105	52.44765	11	5	0.153	1.649	1897236	5	2401	2247766	350530	278	89	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Synechococcales;f__Cyanobiaceae;g__Synechococcus_C;s__Synechococcus_C sp003211515
OTU-34107	55.39214	12	5	0.208	2.755	3600873	5	3789	3993927	393054	563	224	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Candidimonas;s__
OTU-34115	41.7905499999999	14	7	0.406	2.748	3686337	5	4344	4347501	661164	990	772	d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Amphibacillaceae;g__Sediminibacillus_A;s__Sediminibacillus_A massiliensis
OTU-34116	60.24163	13	4	0.207	2.908	3104190	5	2938	3354883	250693	428	181	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Spirochaetales;f__Alkalispirochaetaceae;g__Alkalispirochaeta;s__Alkalispirochaeta alkalica
OTU-34117	29.44521	13	7	0.345	2.611	2160096	5	2473	2451939	291843	359	493	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Tissierellales;f__Caloranaerobacteraceae;g__Caloranaerobacter;s__Caloranaerobacter ferrireducens
OTU-34121	57.1982	11	4	0.207	2.378	4232376	4	4177	4655870	423494	579	287	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Halieaceae;g__Halioglobus;s__Halioglobus lutimaris
OTU-34133	57.2997599999999	15	5	0.172	3.457	2004630	5	2197	2144916	140286	287	90	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Brevibacteriaceae;g__Brevibacterium;s__
OTU-34169	66.58767	14	0	0.261	3.295	3517014	4	3640	3880862	363848	657	294	d__Bacteria;p__Eremiobacterota;c__UBP9;o__UBA4705;f__UBA4705;g__UBA1432;s__UBA1432 sp002329445
OTU-34211	69.87266	15	0	0.328	4.814	3329055	4	3351	3605744	276689	827	272	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Dermatophilaceae;g__Knoellia;s__Knoellia sp001427985
OTU-34218	50.03191	15	6	0.407	3.82	1660053	5	1530	1884654	224601	545	78	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Bifidobacteriaceae;g__Alloscardovia;s__Alloscardovia criceti
OTU-34235	45.9059	13	6	0.119	3.352	816507	4	890	856183	39676	70	36	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Nanopelagicales;f__Nanopelagicaceae;g__Planktophila;s__
OTU-34270	67.84003	14	0	0.352	4.174	3239277	4	3428	3612985	373708	910	295	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Cryobacterium;s__
OTU-34299	69.39663	15	0	0.353	4.404	3664281	4	3889	4022397	358116	925	448	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Microbacterium;s__Microbacterium testaceum_C
OTU-34304	39.0339699999999	12	7	0.163	3.616	1803693	5	1793	1901306	97613	176	117	d__Bacteria;p__Marinisomatota;c__Marinisomatia;o__Marinisomatales;f__UBA1611;g__GCA-2722105;s__
OTU-34305	24.7518	12	9	0.265	2.635	1413369	6	1718	1565952	152583	173	283	d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__CAG-1000;g__CAG-533;s__CAG-533 sp002438065
OTU-34327	45.3316799999999	13	5	0.438	3.128	5900529	5	6172	7461196	1560667	1959	747	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Phormidiaceae;g__Microcoleus;s__
OTU-34350	36.72556	10	7	0.22	2.98	490752	5	567	543780	53028	83	42	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__Paceibacterales;f__DG-74-3;g__DG-74-3;s__DG-74-3 sp001302985
OTU-34391	71.40112	15	0	0.439	4.032	7784199	4	7896	8949889	1165690	2554	911	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Streptomycetales;f__Streptomycetaceae;g__Streptomyces;s__Streptomyces sp002846415
OTU-34409	68.74321	13	0	0.404	2.831	5533596	4	6668	6788375	1254779	1821	870	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Methylobacterium;s__Methylobacterium sp003173715
OTU-34423	59.8912	19	5	0.573	5.053	1778499	5	1744	2093335	314836	932	68	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__Rothia;s__Rothia mucilaginosa
OTU-34480	44.6783	12	7	0.303	4.519	2466600	4	2957	2717329	250729	644	252	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Aeromonadaceae;g__Tolumonas;s__Tolumonas sp003251455
OTU-34482	60.769	12	5	0.298	3.818	2775243	4	2884	3110197	334954	647	211	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Halomonadaceae;g__Halomonas;s__Halomonas subglaciescola
OTU-34502	68.7825	13	0	0.341	4.733	2824320	4	3216	3100266	275946	782	315	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Pararhodobacter;s__
OTU-34519	56.55036	13	5	0.314	3.409	4541832	4	4803	5122354	580522	1145	364	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Agrobacterium;s__Agrobacterium tumefaciens_C
OTU-34523	48.1053199999999	11	5	0.092	1.578	1728432	5	2135	1926798	198366	152	44	d__Bacteria;p__TA06;c__DG-26;o__;f__;g__;s__
OTU-34550	69.1820899999999	14	0	0.208	3.274	4907091	4	5030	5237831	330740	556	492	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycolicibacterium;s__Mycolicibacterium sp001500125
OTU-34602	65.83949	13	3	0.295	3.464	3868815	5	4122	4294927	426112	837	377	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Mangrovicoccus;s__Mangrovicoccus sp003172915
OTU-34613	64.53011	13	3	0.419	5.572	2581473	4	2857	2897896	316423	904	294	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Thiohalobacterales;f__Thiohalobacteraceae;g__Thiohalobacter;s__Thiohalobacter sp002699185
OTU-34619	32.21132	11	6	0.212	1.932	1151565	5	1653	1417115	265550	247	104	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Rickettsiaceae;g__Rickettsia;s__Rickettsia helvetica
OTU-34626	35.19211	13	7	0.329	4.106	3483408	4	3452	3845825	362417	863	272	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Nonlabens;s__Nonlabens dokdonensis
OTU-34634	61.42501	11	0	0.249	2.284	2220897	5	2508	2549273	328376	437	188	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Synechococcales;f__Cyanobiaceae;g__;s__
OTU-34651	50.4964499999999	12	5	0.339	2.893	3657420	5	4176	4411415	753995	938	477	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Geitlerinemaceae;g__;s__
OTU-34664	66.15451	15	3	0.286	3.842	3101976	4	3225	3374213	272237	645	276	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Microbacterium;s__Microbacterium esteraromaticum_B
OTU-34667	48.12067	13	7	0.316	3.992	2152176	5	2502	2301236	149060	290	501	d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Solobacterium;s__Solobacterium sp900320455
OTU-34669	38.28094	13	8	0.306	4.256	3506319	4	3340	3827241	320922	745	277	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__TPBH4;s__TPBH4 sp001280435
OTU-34671	43.8399	15	7	0.327	4.605	5564571	5	4838	6085081	520510	1180	403	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__
OTU-34679	48.53699	12	6	0.401	3.954	4171902	4	4524	4861055	689153	1520	295	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Hafnia;s__Hafnia alvei_B
OTU-34690	68.2177	15	0	0.403	3.572	2622183	4	2668	2996433	374250	796	278	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Propionibacteriales;f__Propionibacteriaceae;g__Propionibacterium;s__
OTU-34700	67.5163599999999	13	0	0.228	3.169	5595987	5	5680	6011831	415844	739	555	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycolicibacterium;s__Mycolicibacterium aurum
OTU-34717	44.8474	12	5	0.206	1.89	1939719	5	2335	2187351	247632	292	188	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter_A;s__Campylobacter_A showae_B
OTU-34721	68.38825	12	3	0.293	5.395	5790978	4	5711	6183410	392432	1035	639	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Pelomonas;s__
OTU-34726	42.90696	15	8	0.304	2.963	1754313	5	1680	2033794	279481	415	95	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas;s__Porphyromonas circumdentaria
OTU-34727	54.1852	13	4	0.18	2.922	2428926	4	3005	2663001	234075	401	139	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Octadecabacter;s__Octadecabacter sp003533975
OTU-34731	66.53039	12	3	0.314	3.633	4429050	4	5059	4987611	558561	1096	492	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Defluviimonas_B;s__Defluviimonas_B alba
OTU-34734	72.21408	15	0	0.416	4.313	7198818	4	7139	8082236	883418	2045	922	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Streptomycetales;f__Streptomycetaceae;g__Streptomyces;s__Streptomyces sp000772045
OTU-34740	46.52776	15	6	0.343	3.328	1610385	5	1596	1847146	236761	425	122	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Bifidobacteriaceae;g__Alloscardovia;s__Alloscardovia omnicolens
OTU-34790	27.2734	15	8	0.319	3.335	1255254	6	1496	1424047	168793	329	148	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__TANB77;f__CAG-508;g__CAG-492;s__
OTU-34822	71.34828	14	0	0.383	4.476	2833518	4	3118	3156146	322628	756	438	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Rhodosalinus;s__
OTU-34827	60.1742599999999	12	0	0.199	2.138	3730524	5	4080	4252949	522425	649	163	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Spirochaetales;f__Alkalispirochaetaceae;g__;s__
OTU-34829	44.52389	12	6	0.259	4.253	1784568	4	2033	1958105	173537	394	133	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Methylophilaceae;g__Methylotenera;s__Methylotenera sp002281815
OTU-34852	31.19191	13	8	0.316	2.989	1904517	5	2043	2143413	238896	412	234	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Tissierellales;f__Peptoniphilaceae;g__Peptoniphilus_A;s__Peptoniphilus_A grossensis_A
OTU-34862	70.42106	14	0	0.342	3.112	6609459	5	6736	7528180	918721	1524	777	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Streptosporangiales;f__Streptosporangiaceae;g__Spirillospora;s__
OTU-34872	40.60895	17	7	0.382	3.286	2304873	5	2612	2782635	477762	777	220	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus_E;s__Lactobacillus_E backii
OTU-34927	47.3541999999999	16	7	0.341	2.915	3032670	5	3592	3516738	484068	738	486	d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Marinococcaceae;g__Salibacterium;s__Salibacterium qingdaonense
OTU-34959	59.31872	16	5	0.426	4.405	6642075	4	6251	7465250	823175	2010	655	d__Bacteria;p__Firmicutes_I;c__Bacilli_A;o__Paenibacillales;f__Paenibacillaceae;g__Cohnella;s__Cohnella sp003208555
OTU-35001	68.26125	14	3	0.471	6.095	2871522	4	2912	3191154	319632	985	386	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_K;s__Pseudomonas_K guangdongensis
OTU-35014	67.68433	15	3	0.355	4.45	3119796	4	3190	3433919	314123	829	304	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Cryobacterium;s__
OTU-35078	59.43662	12	4	0.122	2.465	2737857	5	2539	2898105	160248	200	110	d__Bacteria;p__Bacteroidota;c__Rhodothermia;o__Rhodothermales;f__UBA10348;g__1-14-0-65-60-17;s__1-14-0-65-60-17 sp002787815
OTU-35115	60.6297	12	4	0.345	4.485	3653871	4	3758	4036026	382155	906	389	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Chromobacteriaceae;g__Paludibacterium;s__
OTU-35116	29.08946	16	8	0.338	3.166	3651003	5	3829	4122841	471838	841	453	d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium_A;s__Fusobacterium_A varium_A
OTU-35140	64.3678099999999	15	4	0.28	4.076	4383399	4	3948	4716552	333153	733	371	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__Gemmatimonas;s__Gemmatimonas phototrophica
OTU-35143	40.86241	14	8	0.384	3.825	1790304	4	1958	1988226	197922	376	375	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus oralis_L
OTU-35161	59.96643	12	4	0.376	3.77	4195356	4	4351	4744492	549136	1203	432	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_A;s__Pseudomonas_A stutzeri_Q
OTU-35179	45.7844899999999	12	6	0.44	3.762	4522881	4	4583	5392127	869246	1704	312	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Shewanellaceae;g__Shewanella;s__
OTU-35187	34.9430599999999	11	7	0.158	1.609	1124751	5	1147	1265797	141046	116	65	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__UBA9339;f__;g__;s__
OTU-35203	46.41339	16	7	0.354	5.226	2817000	5	2537	3080501	263501	685	214	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides_A;s__
OTU-35207	60.7726499999999	15	5	0.596	6.019	4118373	4	4213	4758215	639842	1860	649	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Hymenobacteraceae;g__Hymenobacter;s__Hymenobacter psychrophilus
OTU-35208	44.85226	14	7	0.32	3.616	1632933	5	1763	1866920	233987	432	133	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__CAG-964_A;s__
OTU-35249	45.51155	16	7	0.457	4.325	3285816	5	3288	3773432	487616	1215	289	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Hymenobacteraceae;g__Pontibacter;s__Pontibacter sp003284895
OTU-35251	34.60185	10	7	0.163	1.598	1653678	5	2069	1924674	270996	195	143	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Synechococcales;f__Cyanobiaceae;g__Prochlorococcus_B;s__
OTU-35257	38.97936	14	7	0.255	3.183	5411973	5	5499	5988187	576214	1015	387	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Pedobacter;s__Pedobacter lusitanus
OTU-35322	64.93916	12	4	0.361	5.039	5402397	4	5451	5923330	520933	1397	572	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Massilia;s__
OTU-35346	52.5652	17	6	0.517	4.184	1967757	5	2161	2355647	387890	802	315	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus_C;s__
OTU-35379	35.4426199999999	15	9	0.398	3.546	3685011	4	3771	4227641	542630	993	506	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Myroides;s__Myroides odoratus
OTU-35380	43.74598	10	7	0.097	1.868	1495554	5	1461	1595643	100089	86	55	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__MB11C04;g__MB11C04;s__MB11C04 sp002726435
OTU-35394	59.19854	13	5	0.342	4.027	1946655	5	1854	2149037	202382	454	180	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__QAMH01;g__QAMH01;s__
OTU-35441	74.8173899999999	17	0	0.416	4.968	3672102	4	3683	4027947	355845	1062	469	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Cellulomonadaceae;g__Cellulomonas;s__Cellulomonas sp001462455
OTU-35445	39.14785	14	8	0.339	4.351	1356087	5	1426	1507540	151453	348	135	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__RF32;f__CAG-239;g__;s__
OTU-35449	42.7466699999999	10	6	0.175	1.75	2929953	5	2986	3313951	383998	368	155	d__Bacteria;p__SAR324;c__SAR324;o__SAR324;f__NAC60-12;g__Arctic96AD-7;s__Arctic96AD-7 sp001627865
OTU-3545	42.0520599999999	13	8	0.297	3.172	1466778	5	1387	1623451	156673	237	175	d__Bacteria;p__Firmicutes;c__Bacilli;o__RFN20;f__CAG-288;g__UBA7642;s__
OTU-35464	48.61792	12	7	0.222	3.794	2344191	4	2360	2529473	185282	382	143	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Alteromonadaceae;g__Idiomarina;s__
OTU-35465	47.5814899999999	13	5	0.135	0.904	3002901	5	3638	4019866	1016965	407	84	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__Acidimicrobiaceae;g__Acidithrix;s__Acidithrix ferrooxidans
OTU-35480	62.5022199999999	12	4	0.356	2.982	1140270	5	1394	1360268	219998	352	144	d__Bacteria;p__Bacteroidota;c__Rhodothermia;o__Rhodothermales;f__Salinibacteraceae;g__Salinibacter;s__Salinibacter sp003023125
OTU-35538	51.38876	16	6	0.411	3.862	7065753	5	6986	8156808	1091055	2376	493	d__Bacteria;p__Firmicutes_I;c__Bacilli_A;o__Paenibacillales;f__Paenibacillaceae;g__Paenibacillus;s__Paenibacillus borealis
OTU-35569	37.26255	16	8	0.47	3.192	3385932	5	3911	4100313	714381	1117	723	d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales_A;f__Planococcaceae;g__Lysinibacillus;s__Lysinibacillus contaminans
OTU-35585	44.9317799999999	17	7	0.453	5.444	2183079	5	2305	2465612	282533	704	340	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Weissella;s__Weissella cibaria
OTU-35598	44.20285	12	6	0.208	2.002	1604883	5	1959	1902074	297191	303	104	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae;g__KS41;s__KS41 sp002256705
OTU-35601	65.59918	14	0	0.24	4.182	2041344	4	2284	2221154	179810	386	162	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__OPB41;f__UBA2279;g__UBA7930;s__UBA7930 sp003453535
OTU-35625	50.94081	13	5	0.309	2.316	5763240	5	6228	6984011	1220771	1322	603	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Leptolyngbyales;f__Leptolyngbyaceae;g__Leptolyngbya_B;s__Leptolyngbya_B frigida
OTU-35633	64.83549	14	3	0.476	4.67	3190440	4	3164	3615108	424668	1159	347	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Halomonadaceae;g__Salinicola;s__Salinicola halophilus
OTU-35639	41.08108	10.5	6	0.115	0.962	736320	5	781	859006	122686	58	32	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Anaplasmataceae;g__Neorickettsia;s__Neorickettsia sennetsu
OTU-35644	70.26253	15	0	0.314	3.607	7772340	5	7914	8565519	793179	1536	946	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Mycobacteriales;f__Pseudonocardiaceae;g__Allokutzneria;s__Allokutzneria albata
OTU-35654	72.09436	13	0	0.344	4.507	2550744	4	2765	2784625	233881	566	386	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Hasllibacter;s__Hasllibacter halocynthiae
OTU-35659	36.5446999999999	13	8	0.36	4.402	3380484	4	3452	3712841	332357	869	375	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Weeksellaceae;g__Chryseobacterium;s__
OTU-35681	38.63883	10	7	0.136	1.594	1250148	5	1377	1411358	161210	114	73	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Synechococcales;f__Cyanobiaceae;g__AG-409-J19;s__AG-409-J19 sp003215635
OTU-35685	41.32264	14	7	0.388	4.372	1601043	4	1619	1789750	188707	480	148	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Eubacterium_R;s__
OTU-35693	48.13024	13	5	0.392	4.817	2160141	5	2022	2445974	285833	620	172	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp900314455
OTU-35702	62.79587	11	4	0.191	3.348	2234382	4	2764	2427308	192926	337	191	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Synechococcales;f__Cyanobiaceae;g__Vulcanococcus;s__Vulcanococcus sp000179255
OTU-35707	44.21855	11	6	0.182	2.12	2907753	5	3085	3292146	384393	420	140	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__UBA10353;f__UBA7415;g__UBA7415;s__
OTU-35708	45.6548299999999	15	7	0.184	3.645	1391133	5	1891	1517347	126214	239	109	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__CAG-177;s__
OTU-35716	58.65977	13	3	0.151	2.923	2458872	4	2526	2635768	176896	276	105	d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Phycisphaerales;f__SM1A02;g__UBA966;s__UBA966 sp002292895
OTU-35727	62.32567	12	4	0.165	2.799	4028127	4	3973	4311767	283640	397	258	d__Bacteria;p__Elusimicrobiota;c__Elusimicrobia;o__UBA1565;f__UBA1565;g__UBA1565;s__UBA1565 sp002790095
OTU-35759	61.55103	13	4	0.388	4.577	3730758	4	3905	4165276	434518	1221	295	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Pseudophaeobacter;s__Pseudophaeobacter gallaeciensis
OTU-35767	73.5305999999999	14	0	0.391	4.277	4766907	4	4611	5277990	511083	1206	597	d__Bacteria;p__Myxococcota;c__Myxococcia;o__Myxococcales;f__Anaeromyxobacteraceae;g__Anaeromyxobacter;s__Anaeromyxobacter sp000017505
OTU-35785	35.60893	14	8	0.367	2.641	6249087	5	5863	7362133	1113046	1707	442	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__Aureispira;s__Aureispira sp000724545
OTU-35786	52.53131	17	6	0.461	4.3	2202888	5	2427	2605895	403007	847	271	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus_C;s__
OTU-35835	50.23272	16	7	0.392	4.099	4864758	4	5100	5546433	681675	1616	383	d__Bacteria;p__Firmicutes_I;c__Bacilli_A;o__Paenibacillales;f__Paenibacillaceae;g__Gorillibacterium;s__Gorillibacterium massiliense
OTU-35856	47.61085	12	5	0.404	3.002	6312702	4	5966	7804270	1491568	2026	383	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Oscillatoriaceae;g__Oscillatoria;s__Oscillatoria acuminata
OTU-35878	28.76133	11	9	0.101	1.882	1000725	5	976	1030476	29751	23	76	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__TMED113;g__GCA-2706465;s__GCA-2706465 sp002706465
OTU-35888	60.8130899999999	15	6	0.468	4.68	2093739	4	2287	2422126	328387	833	238	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Christensenellales;f__GCA-900066905;g__;s__
OTU-35920	39.5745399999999	14	7	0.293	2.7	3913353	4	3425	4472281	558928	745	258	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinilabiliaceae;g__Alkalitalea;s__
OTU-35931	67.5711	14	3	0.242	3.108	6550512	4	6699	7105933	555421	1020	602	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycolicibacterium;s__Mycolicibacterium goodii_B
OTU-35937	60.83902	15	5	0.349	4.78	1634133	4	1938	1860503	226370	543	134	d__Bacteria;p__Desulfobacterota_A;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Mailhella;s__
OTU-35945	63.40376	12	3	0.281	3.842	2367171	5	2710	2606363	239192	521	241	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Porphyrobacter;s__Porphyrobacter sp002482865
OTU-3595	60.6632599999999	13	4	0.47	5.236	5637576	4	5879	6365548	727972	2207	554	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E sp001984065
OTU-35968	58.12231	13	5	0.186	3.606	3776073	5	3831	4055632	279559	518	195	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__UBA12059;g__SZUA-370;s__
